measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Albania,Male,15-49 years,Amphetamine use disorders,Number,1999,0.24067751414788147,0.3569018709424551,0.15169257876965853
Deaths,Albania,Female,15-49 years,Amphetamine use disorders,Number,1999,0.03812419354679387,0.052466045030103665,0.025361489689680276
Deaths,Albania,Male,50-69 years,Amphetamine use disorders,Number,1999,0.03169286083472057,0.04799848033394183,0.008675054060613665
Deaths,Albania,Female,50-69 years,Amphetamine use disorders,Number,1999,0.0038048551115644103,0.005652384851623051,0.001778644400839689
Deaths,Albania,Male,70+ years,Amphetamine use disorders,Number,1999,0.000529286007078064,0.002292357883962414,0.00020104272673244193
Deaths,Albania,Female,70+ years,Amphetamine use disorders,Number,1999,0.0004668850007276767,0.000924098562517702,0.00025649721633406
Deaths,Albania,Male,15-49 years,Other drug use disorders,Number,1999,3.202842938984828,4.866591308234347,2.4629816906896083
Deaths,Albania,Female,15-49 years,Other drug use disorders,Number,1999,1.015320010394074,1.2277087293037914,0.8362292670011847
Deaths,Albania,Male,50-69 years,Other drug use disorders,Number,1999,1.170685078571865,1.4432548979669522,0.7920377398441947
Deaths,Albania,Female,50-69 years,Other drug use disorders,Number,1999,0.5025140966768679,0.6225051843337135,0.3770710529366476
Deaths,Albania,Male,70+ years,Other drug use disorders,Number,1999,0.8245597564561693,1.020602523597745,0.5791831723904565
Deaths,Albania,Female,70+ years,Other drug use disorders,Number,1999,0.6797287942558217,0.8062108464547126,0.5339630664719238
Deaths,Bosnia and Herzegovina,Male,5-14 years,Opioid use disorders,Number,1999,0.0,0.0,0.0
Deaths,Bosnia and Herzegovina,Female,5-14 years,Opioid use disorders,Number,1999,0.0,0.0,0.0
Deaths,Bosnia and Herzegovina,Male,15-49 years,Opioid use disorders,Number,1999,3.059137084232357,3.8443064710255017,2.4179948975914933
Deaths,Bosnia and Herzegovina,Female,15-49 years,Opioid use disorders,Number,1999,0.4588389260561708,0.5555605690463148,0.37007987001942966
Deaths,Bosnia and Herzegovina,Male,50-69 years,Opioid use disorders,Number,1999,0.4304726365963275,0.5575005018385869,0.3147727621550966
Deaths,Bosnia and Herzegovina,Female,50-69 years,Opioid use disorders,Number,1999,0.1930613570968052,0.25091882118025877,0.1401490525151183
Deaths,Bosnia and Herzegovina,Male,70+ years,Opioid use disorders,Number,1999,0.07263154014452539,0.10553638027210327,0.043679876783238474
