measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Spain,Male,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Spain,Female,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Spain,Male,15-49 years,Opioid use disorders,Number,1998,72783.35409,81607.26719,63642.20871
Prevalence,Spain,Female,15-49 years,Opioid use disorders,Number,1998,25565.80775,29975.26332,21566.23296
Prevalence,Spain,Male,50-69 years,Opioid use disorders,Number,1998,7513.599686,9526.99645,5822.467
Prevalence,Spain,Female,50-69 years,Opioid use disorders,Number,1998,4096.687483,5093.680883,3294.500881
Prevalence,Spain,Male,70+ years,Opioid use disorders,Number,1998,1773.113911,2325.202669,1347.311896
Prevalence,Spain,Female,70+ years,Opioid use disorders,Number,1998,1698.365744,2169.330064,1312.796673
Prevalence,Spain,Male,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Spain,Female,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Spain,Male,15-49 years,Cocaine use disorders,Number,1998,62297.76424,70989.07644,55339.9669
Prevalence,Spain,Female,15-49 years,Cocaine use disorders,Number,1998,30870.34896,34789.42913,27747.62863
Prevalence,Spain,Male,50-69 years,Cocaine use disorders,Number,1998,9775.989335,11003.47101,8685.95893
Prevalence,Spain,Female,50-69 years,Cocaine use disorders,Number,1998,4781.413953,5358.078352,4199.487111
Prevalence,Spain,Male,70+ years,Cocaine use disorders,Number,1998,2803.357343,3219.836452,2428.434088
Prevalence,Spain,Female,70+ years,Cocaine use disorders,Number,1998,2207.223502,2514.990608,1933.954477
Prevalence,Spain,Male,5-14 years,Amphetamine use disorders,Number,1998,160.0295827,206.8202186,123.6043288
Prevalence,Spain,Female,5-14 years,Amphetamine use disorders,Number,1998,98.63513731,123.7483765,74.44303633
Prevalence,Spain,Male,15-49 years,Amphetamine use disorders,Number,1998,23237.13503,26127.66441,20485.75177
Prevalence,Spain,Female,15-49 years,Amphetamine use disorders,Number,1998,12987.12391,14673.57809,11397.02553
Prevalence,Spain,Male,50-69 years,Amphetamine use disorders,Number,1998,769.0758868,1023.838865,575.5530091
Prevalence,Spain,Female,50-69 years,Amphetamine use disorders,Number,1998,459.7428851,615.9877939,332.1125223
Prevalence,Spain,Male,70+ years,Amphetamine use disorders,Number,1998,225.6356831,312.2071441,154.959204
Prevalence,Spain,Female,70+ years,Amphetamine use disorders,Number,1998,269.1277609,387.7564478,181.8775977
Prevalence,Spain,Male,5-14 years,Other drug use disorders,Number,1998,0.122479155,0.280634178,0.012098986
Prevalence,Spain,Female,5-14 years,Other drug use disorders,Number,1998,0.104911478,0.241046774,0.01255106
Prevalence,Spain,Male,15-49 years,Other drug use disorders,Number,1998,10123.85418,11350.21311,9007.353711
Prevalence,Spain,Female,15-49 years,Other drug use disorders,Number,1998,7238.16421,8324.620344,6202.493809
Prevalence,Spain,Male,50-69 years,Other drug use disorders,Number,1998,1286.235208,1599.933269,1023.050241
Prevalence,Spain,Female,50-69 years,Other drug use disorders,Number,1998,1809.586734,2293.039393,1425.366043
Prevalence,Spain,Male,70+ years,Other drug use disorders,Number,1998,34.77434003,40.16452409,29.88500432
Prevalence,Spain,Female,70+ years,Other drug use disorders,Number,1998,69.06560949,79.73741523,59.07363142
Prevalence,Sweden,Male,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Sweden,Female,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Sweden,Male,15-49 years,Opioid use disorders,Number,1998,5768.328364,6740.138074,4828.896907
Prevalence,Sweden,Female,15-49 years,Opioid use disorders,Number,1998,1760.816002,2206.641722,1383.821695
Prevalence,Sweden,Male,50-69 years,Opioid use disorders,Number,1998,1493.196632,1862.075802,1191.654442
Prevalence,Sweden,Female,50-69 years,Opioid use disorders,Number,1998,608.769053,783.8673708,470.3957543
Prevalence,Sweden,Male,70+ years,Opioid use disorders,Number,1998,440.1214221,541.4428668,343.5276194
Prevalence,Sweden,Female,70+ years,Opioid use disorders,Number,1998,295.3313639,376.9117652,227.1663724
Prevalence,Sweden,Male,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Sweden,Female,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Sweden,Male,15-49 years,Cocaine use disorders,Number,1998,1226.252121,1479.970429,1020.677231
Prevalence,Sweden,Female,15-49 years,Cocaine use disorders,Number,1998,675.5982269,821.9920379,551.2792174
Prevalence,Sweden,Male,50-69 years,Cocaine use disorders,Number,1998,258.1409655,304.0485181,216.0430449
Prevalence,Sweden,Female,50-69 years,Cocaine use disorders,Number,1998,163.9720704,198.4835699,133.6566274
Prevalence,Sweden,Male,70+ years,Cocaine use disorders,Number,1998,78.79341884,95.91826294,64.38499582
Prevalence,Sweden,Female,70+ years,Cocaine use disorders,Number,1998,93.4957474,114.7327898,74.54347461
Prevalence,Czech Republic,Male,5-14 years,Opioid use disorders,Number,1997,0,0,0
Prevalence,Czech Republic,Female,5-14 years,Opioid use disorders,Number,1997,0,0,0
Prevalence,Czech Republic,Male,15-49 years,Opioid use disorders,Number,1997,7551.473888,8715.044771,6509.099354
Prevalence,Czech Republic,Female,15-49 years,Opioid use disorders,Number,1997,2364.79207,2831.836491,1923.637899
Prevalence,Czech Republic,Male,50-69 years,Opioid use disorders,Number,1997,1646.293114,1967.793921,1364.662273
Prevalence,Czech Republic,Female,50-69 years,Opioid use disorders,Number,1997,664.2882584,825.5690801,529.9531877
Prevalence,Czech Republic,Male,70+ years,Opioid use disorders,Number,1997,286.2661511,367.8233804,217.7674614
Prevalence,Czech Republic,Female,70+ years,Opioid use disorders,Number,1997,358.8107451,465.4767719,268.3162538
Prevalence,Czech Republic,Male,5-14 years,Cocaine use disorders,Number,1997,0,0,0
Prevalence,Czech Republic,Female,5-14 years,Cocaine use disorders,Number,1997,0,0,0
Prevalence,Czech Republic,Male,15-49 years,Cocaine use disorders,Number,1997,2005.302013,2408.938216,1657.444642
Prevalence,Czech Republic,Female,15-49 years,Cocaine use disorders,Number,1997,821.1078334,1005.732069,670.7601517
Prevalence,Czech Republic,Male,50-69 years,Cocaine use disorders,Number,1997,345.9312418,405.3770737,290.9601184
Prevalence,Czech Republic,Female,50-69 years,Cocaine use disorders,Number,1997,231.7988066,281.4501171,189.346121
Prevalence,Czech Republic,Male,70+ years,Cocaine use disorders,Number,1997,68.39123744,82.32464404,56.37840511
Prevalence,Czech Republic,Female,70+ years,Cocaine use disorders,Number,1997,86.02373695,105.9462857,67.99889025
Prevalence,Czech Republic,Male,5-14 years,Amphetamine use disorders,Number,1997,57.46328533,71.51129905,45.19181693
Prevalence,Czech Republic,Female,5-14 years,Amphetamine use disorders,Number,1997,32.49989073,41.30490115,25.43497203
Prevalence,Czech Republic,Male,15-49 years,Amphetamine use disorders,Number,1997,12111.92868,14374.55435,10128.74164
Prevalence,Czech Republic,Female,15-49 years,Amphetamine use disorders,Number,1997,6896.825162,8273.348013,5791.183448
Prevalence,Czech Republic,Male,50-69 years,Amphetamine use disorders,Number,1997,425.3817965,520.8417794,355.1889911
Prevalence,Czech Republic,Female,50-69 years,Amphetamine use disorders,Number,1997,279.7057099,345.52437,230.6379444
Prevalence,Czech Republic,Male,70+ years,Amphetamine use disorders,Number,1997,54.71527588,74.47854742,37.71695646
Prevalence,Czech Republic,Female,70+ years,Amphetamine use disorders,Number,1997,73.04601954,102.6638865,48.24102168
Prevalence,Czech Republic,Male,5-14 years,Other drug use disorders,Number,1997,0.028459649,0.068308677,0.001925705
Prevalence,Czech Republic,Female,5-14 years,Other drug use disorders,Number,1997,0.028566473,0.065745443,0.003591097
Prevalence,Czech Republic,Male,15-49 years,Other drug use disorders,Number,1997,924.8691062,1066.673781,786.9456604
Prevalence,Czech Republic,Female,15-49 years,Other drug use disorders,Number,1997,1050.870304,1211.813743,889.8865799
Prevalence,Czech Republic,Male,50-69 years,Other drug use disorders,Number,1997,206.9288058,263.7033881,163.7854225
Prevalence,Czech Republic,Female,50-69 years,Other drug use disorders,Number,1997,300.75912,385.7169084,234.5510908
Prevalence,Czech Republic,Male,70+ years,Other drug use disorders,Number,1997,3.628725797,4.288708756,3.01380142
Prevalence,Czech Republic,Female,70+ years,Other drug use disorders,Number,1997,8.51287571,10.12889272,7.187809891
Prevalence,Bulgaria,Male,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Bulgaria,Female,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Bulgaria,Male,15-49 years,Opioid use disorders,Number,1998,7362.709608,9119.441536,5826.628146
