Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
"Population, total",SP.POP.TOTL,Andorra,AND,77001
"Population, total",SP.POP.TOTL,Belgium,BEL,11375158
"Population, total",SP.POP.TOTL,Armenia,ARM,2944809
"Population, total",SP.POP.TOTL,Albania,ALB,2873457
"Population, total",SP.POP.TOTL,Austria,AUT,8797566
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10594438
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7075947
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3351527
"Population, total",SP.POP.TOTL,Belarus,BLR,9498264
"Population, total",SP.POP.TOTL,Croatia,HRV,4124531
"Population, total",SP.POP.TOTL,Denmark,DNK,5764980
"Population, total",SP.POP.TOTL,Cyprus,CYP,1179680
"Population, total",SP.POP.TOTL,Estonia,EST,1317384
"Population, total",SP.POP.TOTL,Finland,FIN,5508214
"Population, total",SP.POP.TOTL,France,FRA,66865144
"Population, total",SP.POP.TOTL,Germany,DEU,82657002
"Population, total",SP.POP.TOTL,Greece,GRC,10754679
"Population, total",SP.POP.TOTL,Hungary,HUN,9787966
"Population, total",SP.POP.TOTL,Iceland,ISL,343400
"Population, total",SP.POP.TOTL,Ireland,IRL,4807388
"Population, total",SP.POP.TOTL,Italy,ITA,60536709
"Population, total",SP.POP.TOTL,Latvia,LVA,1942248
"Population, total",SP.POP.TOTL,Luxembourg,LUX,596336
"Population, total",SP.POP.TOTL,Lithuania,LTU,2828403
"Population, total",SP.POP.TOTL,Moldova,MDA,3549196
"Population, total",SP.POP.TOTL,Malta,MLT,467999
"Population, total",SP.POP.TOTL,Montenegro,MNE,622373
"Population, total",SP.POP.TOTL,Netherlands,NLD,17131296
"Population, total",SP.POP.TOTL,Norway,NOR,5276968
"Population, total",SP.POP.TOTL,Poland,POL,37974826
"Population, total",SP.POP.TOTL,Romania,ROU,19587491
"Population, total",SP.POP.TOTL,Portugal,PRT,10300300
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144496740
"Population, total",SP.POP.TOTL,Serbia,SRB,7020858
"Population, total",SP.POP.TOTL,Slovenia,SVN,2066388
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5439232
"Population, total",SP.POP.TOTL,Spain,ESP,46593236
"Population, total",SP.POP.TOTL,Sweden,SWE,10057698
"Population, total",SP.POP.TOTL,Switzerland,CHE,8451840
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66058859
"Population, total",SP.POP.TOTL,Ukraine,UKR,44831135
"Population, total",SP.POP.TOTL,Macedonia,MKD,2081996
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/28/2019,,,,
